Time, Date, Latitude, Longitude, Elevation, Speed (Knots), Angle, Fix, Quality, Satellites, Color Temp, Lux, R, G, B, C
5:21:44.300,9/26/2014,3403.8479N,11821.7177W,0.00,7.00,91.77,1,0,0,6056,9,13,14,12,31
5:21:45.363,9/26/2014,3403.8513N,11821.6865W,0.00,7.94,96.78,1,0,0,6009,15,17,21,17,50
5:21:46.363,9/26/2014,3403.8483N,11821.6865W,0.00,6.92,100.33,1,0,0,5993,18,21,26,21,63
5:21:47.367,9/26/2014,3403.8447N,11821.6835W,0.00,8.70,123.86,1,0,0,5544,29,30,38,29,98
5:21:48.367,9/26/2014,3403.8413N,11821.6816W,0.00,9.99,130.50,1,0,0,5593,20,22,27,21,67
5:21:49.367,9/26/2014,3403.8356N,11821.6816W,0.00,15.72,174.71,1,0,0,5325,18,18,23,17,57
5:21:50.367,9/26/2014,3403.8308N,11821.6816W,0.00,17.25,178.26,1,0,0,5442,15,17,21,16,51
5:21:51.363,9/26/2014,3403.8254N,11821.6845W,0.00,16.74,177.66,1,0,0,4710,15,17,20,14,45
5:21:53.0,9/26/2014,3403.8181N,11821.6835W,0.00,16.07,176.58,1,0,0,5351,17,23,25,20,58
5:21:54.0,9/26/2014,3403.8142N,11821.6835W,48.90,16.07,176.58,1,1,8,6008,13,21,22,19,45
5:21:54.0,9/26/2014,3403.8142N,11821.6835W,48.90,14.98,177.89,1,1,8,5634,23,34,36,30,75
5:21:55.0,9/26/2014,3403.8105N,11821.6826W,48.90,12.82,175.05,1,1,8,5324,29,44,45,37,89
5:21:56.0,9/26/2014,3403.8071N,11821.6816W,48.90,12.10,175.51,1,1,8,5507,32,52,52,44,94
5:21:57.0,9/26/2014,3403.8046N,11821.6816W,48.90,10.34,180.43,1,1,8,5840,30,54,52,46,93
5:21:58.0,9/26/2014,3403.8024N,11821.6816W,48.90,8.26,175.44,1,1,8,6295,26,48,46,42,82
5:21:59.0,9/26/2014,3403.8002N,11821.6806W,48.90,6.93,183.35,1,1,8,6060,17,30,29,26,55
5:22:0.0,9/26/2014,3403.7988N,11821.6806W,48.90,4.89,183.32,1,1,8,5427,15,25,25,21,51
5:22:1.0,9/26/2014,3403.7980N,11821.6806W,48.90,2.16,183.32,1,1,8,5749,13,22,22,19,47
5:22:2.0,9/26/2014,3403.7980N,11821.6806W,48.90,0.06,183.32,1,1,8,5736,12,18,19,16,44
5:22:3.0,9/26/2014,3403.7980N,11821.6796W,48.90,0.06,183.32,1,1,8,5487,10,12,14,11,34
5:22:4.0,9/26/2014,3403.7980N,11821.6796W,48.90,0.03,183.32,1,1,8,5154,9,13,14,11,32
5:22:5.0,9/26/2014,3403.7976N,11821.6796W,48.90,0.06,183.32,1,1,8,5703,11,22,20,18,42
5:22:6.0,9/26/2014,3403.7973N,11821.6796W,49.00,0.06,183.32,1,1,8,6604,20,43,39,37,74
5:22:6.0,9/26/2014,3403.7973N,11821.6796W,49.00,0.08,183.32,1,1,8,6287,23,47,43,40,80
5:22:7.0,9/26/2014,3403.7966N,11821.6796W,49.00,0.11,183.32,1,1,8,6244,30,60,55,51,98
5:22:8.0,9/26/2014,3403.7954N,11821.6796W,49.00,0.18,183.32,1,1,8,6265,31,65,59,55,106
5:22:9.0,9/26/2014,3403.7946N,11821.6796W,49.00,0.18,183.32,1,1,8,6276,37,75,69,64,122
5:22:9.0,9/26/2014,3403.7946N,11821.6796W,49.00,0.19,183.32,1,1,8,6287,46,94,86,80,148
5:22:10.0,9/26/2014,3403.7937N,11821.6796W,49.00,0.18,183.32,1,1,8,6276,47,98,89,83,154
5:22:11.0,9/26/2014,3403.7932N,11821.6796W,49.00,0.16,183.32,1,1,8,6229,51,101,93,86,161
5:22:12.0,9/26/2014,3403.7927N,11821.6796W,49.00,1.41,183.32,1,1,8,6250,51,102,94,87,165
5:22:13.0,9/26/2014,3403.7924N,11821.6796W,49.00,1.02,183.32,1,1,8,6306,54,101,96,88,170
5:22:14.0,9/26/2014,3403.7922N,11821.6806W,49.00,0.69,183.32,1,1,8,6417,52,101,95,88,170
5:22:15.0,9/26/2014,3403.7922N,11821.6806W,49.00,0.39,183.32,1,1,8,6415,52,109,99,93,168
5:22:16.0,9/26/2014,3403.7919N,11821.6806W,49.00,0.38,183.32,1,1,8,6415,52,109,99,93,167
5:22:17.0,9/26/2014,3403.7919N,11821.6806W,49.00,0.27,183.32,1,1,8,6481,56,109,102,95,179
5:22:18.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6411,50,88,87,79,161
5:22:19.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6371,49,78,81,72,153
5:22:20.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6220,49,80,81,72,155
5:22:21.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6483,62,120,113,105,197
5:22:22.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6516,63,122,115,107,200
5:22:23.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6476,65,129,120,112,207
5:22:24.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6532,64,123,116,108,201
5:22:25.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6418,65,122,116,107,200
5:22:26.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6376,65,124,117,108,203
5:22:27.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6545,62,119,113,105,197
5:22:28.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6577,63,121,115,107,199
5:22:29.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6376,65,124,117,108,202
5:22:30.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6374,57,101,99,90,182
5:22:31.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6338,53,90,90,81,168
5:22:32.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.00,183.32,1,1,8,6269,53,83,86,76,165
5:22:32.0,9/26/2014,3403.7917N,11821.6806W,49.00,0.46,183.32,1,1,8,6187,55,84,88,77,173
5:22:33.0,9/26/2014,3403.7915N,11821.6806W,49.00,1.51,183.32,1,1,8,6138,56,82,88,76,177
5:22:34.0,9/26/2014,3403.7912N,11821.6806W,49.00,2.51,183.32,1,1,8,5965,57,82,88,75,182
5:22:35.0,9/26/2014,3403.7893N,11821.6806W,49.00,2.51,183.32,1,1,9,5885,60,86,92,78,193
5:22:35.0,9/26/2014,3403.7893N,11821.6806W,49.00,7.60,180.49,1,1,9,5922,55,84,87,75,182
5:22:36.0,9/26/2014,3403.7866N,11821.6806W,49.00,10.04,181.69,1,1,9,5993,49,79,80,70,170
5:22:37.0,9/26/2014,3403.7836N,11821.6806W,49.00,11.83,172.86,1,1,9,5547,42,70,69,59,146
5:22:38.0,9/26/2014,3403.7802N,11821.6796W,48.90,11.83,172.86,1,1,9,5605,33,59,56,49,121
5:22:38.0,9/26/2014,3403.7802N,11821.6796W,48.90,12.56,162.41,1,1,9,5233,26,48,44,38,91
5:22:39.0,9/26/2014,3403.7773N,11821.6777W,48.90,11.77,145.08,1,1,9,5257,23,38,37,31,77
5:22:40.0,9/26/2014,3403.7758N,11821.6738W,48.90,12.09,115.39,1,1,9,4742,26,34,36,27,74
5:22:41.0,9/26/2014,3403.7744N,11821.6699W,48.90,11.63,111.68,1,1,9,4625,27,33,36,26,75
5:22:42.0,9/26/2014,3403.7741N,11821.6650W,48.90,15.58,95.34,1,1,9,4906,15,21,22,17,47
5:22:43.0,9/26/2014,3403.7736N,11821.6591W,48.90,17.59,95.50,1,1,9,5068,13,21,21,17,45
5:22:44.0,9/26/2014,3403.7731N,11821.6533W,49.00,17.59,95.50,1,1,9,4814,14,20,21,16,44
5:22:44.0,9/26/2014,3403.7731N,11821.6533W,49.00,19.10,99.43,1,1,9,4906,15,21,22,17,46
5:22:45.0,9/26/2014,3403.7722N,11821.6464W,49.00,20.18,99.05,1,1,9,4721,21,26,29,21,61
5:22:46.0,9/26/2014,3403.7714N,11821.6406W,49.00,20.23,98.03,1,1,9,4684,36,39,46,32,100
5:22:47.0,9/26/2014,3403.7707N,11821.6337W,49.00,20.69,97.43,1,1,9,5226,24,28,33,25,71
5:22:48.0,9/26/2014,3403.7697N,11821.6269W,49.00,20.76,97.35,1,1,9,6296,23,31,35,30,75
5:22:49.0,9/26/2014,3403.7687N,11821.6191W,49.00,21.12,97.80,1,1,9,6201,22,29,33,28,72
5:22:50.0,9/26/2014,3403.7678N,11821.6123W,49.00,22.35,101.64,1,1,9,6425,12,21,21,19,42
5:22:51.0,9/26/2014,3403.7666N,11821.6054W,49.00,23.05,102.39,1,1,9,6036,10,17,17,15,30
5:22:52.0,9/26/2014,3403.7651N,11821.5976W,49.00,20.62,101.59,1,1,9,5173,11,20,19,16,34
5:22:53.0,9/26/2014,3403.7639N,11821.5917W,50.30,20.62,101.59,1,1,10,5173,11,20,19,16,34
5:22:53.0,9/26/2014,3403.7639N,11821.5917W,50.30,18.33,98.79,1,1,10,5330,9,19,17,15,30
5:22:54.0,9/26/2014,3403.7634N,11821.5859W,50.30,15.01,97.53,1,1,10,5803,10,19,18,16,32
5:22:55.0,9/26/2014,3403.7626N,11821.5820W,50.30,13.22,103.75,1,1,10,5490,13,23,22,19,41
5:22:56.0,9/26/2014,3403.7626N,11821.5791W,48.60,13.22,103.75,1,1,10,5726,18,29,29,25,55
5:22:56.0,9/26/2014,3403.7626N,11821.5791W,48.60,10.33,97.35,1,1,10,4839,32,42,45,34,91
5:22:57.0,9/26/2014,3403.7622N,11821.5771W,48.60,6.84,97.98,1,1,10,4587,39,52,54,40,115
