Time,Date,Fix,Quality,Latitude,Longitude,Speed(knots),Angle,Altitude,Sattelites,Color Temp,LUX,R,G,B,C

18:49:28.0,20/9/2014,1,2,3407.7385N,11808.8916W,0.37,177.21,241.00,8,8421,605,1032,1086,1057,2846
18:49:31.0,20/9/2014,1,2,3407.7385N,11808.8916W,0.12,204.12,241.00,8,8441,602,1030,1083,1055,2840
18:49:32.984,20/9/2014,1,2,3407.7385N,11808.8916W,0.09,210.58,241.00,8,8412,603,1030,1083,1054,2838
18:49:35.0,20/9/2014,1,2,3407.7382N,11808.8916W,0.10,259.43,241.00,8,8412,602,1028,1081,1052,2832
18:49:38.0,20/9/2014,1,2,3407.7382N,11808.8916W,0.14,196.69,241.00,8,8411,601,1026,1079,1050,2828
18:49:40.0,20/9/2014,1,2,3407.7382N,11808.8916W,0.25,235.33,241.10,8,8410,600,1025,1078,1049,2824
18:49:42.0,20/9/2014,1,2,3407.7382N,11808.8925W,0.25,258.69,241.10,8,8410,600,1024,1077,1048,2820
18:49:44.984,20/9/2014,1,2,3407.7377N,11808.8925W,0.19,246.01,241.30,8,8402,599,1023,1075,1046,2817
18:49:47.0,20/9/2014,1,2,3407.7373N,11808.8935W,0.25,229.17,241.30,8,8401,598,1022,1074,1045,2814
18:49:50.0,20/9/2014,1,2,3407.7375N,11808.8935W,0.29,272.11,241.50,8,8401,597,1021,1073,1044,2810
18:49:52.0,20/9/2014,1,2,3407.7373N,11808.8935W,0.14,219.08,241.50,8,8401,597,1020,1072,1043,2808
18:49:54.0,20/9/2014,1,2,3407.7373N,11808.8945W,0.24,211.49,241.50,8,8400,596,1019,1071,1042,2805
18:49:56.984,20/9/2014,1,2,3407.7373N,11808.8945W,0.07,303.85,241.50,8,8400,596,1018,1070,1041,2802
18:49:59.0,20/9/2014,1,2,3407.7373N,11808.8945W,0.20,326.48,241.50,8,8400,596,1019,1071,1042,2804
